Key,en,nl,ru,de,pt,cs,es,fi,fr,ja,ko,lt,pl,tr,zh,it,sv,no
GAME_TITLE,Battle of the Bookworms,Strijd der Boekenwurmen,Битва книжных червей,Kampf der Bücherwürmer,A Batalha dos Bibliófilos,Bitva knihomolů,La batalla de los ratones de biblioteca,Kirjamatojen taistelu,La bataille des rats de bibliothèque,本の虫の戦い,책벌레들의 전투,Knygų kirminų mūšis,Bitwa Moli Książkowych,Kitap Kurdu Savaşı,书虫之战,Battaglia dei topi di biblioteca,Bokmaskarnas kamp,Bokormenes kamp
START_BUTTON,Start,Begin,Начинать,Start,Começar,Start,Comenzar,Aloita,Commencer,始める,시작,Pradėti,Start,Başlangıç,开始,Inizio,Start,Start
OPTIONS_BUTTON,Options,Opties,Параметры,Optionen,Opções,Možnosti,Opciones,Asetukset,Options,オプション,옵션,Parinktys,Opcje,Seçenekler,选项,Opzioni,Alternativ,Alternativer
EXIT_BUTTON,Exit,Afsluiten,Выключить,Ausschalten,Desligar,Vypnout,Desconectar,Sammuta,Éteindre,スイッチを切る,끄다,Išjungti,Wyłączać,Kapat,关闭,Spegnere,Stänga av,Slå av
DEMO_TEXT,"This is a Demo build, some features may be limited. Version: ","Dit is een demoversie, sommige functies zijn mogelijk beperkt. Versie:","Это демо-сборка, некоторые функции могут быть ограничены. Версия:","Dies ist eine Demoversion, einige Funktionen sind möglicherweise eingeschränkt. Version:",Esta é uma versão de demonstração; alguns recursos podem ser limitados. Versão:,"Toto je demo verze, některé funkce mohou být omezené. Verze:",Esta es una versión de demostración; algunas funciones pueden estar limitadas. Versión:,"Tämä on demoversio, joten jotkin ominaisuudet saattavat olla rajoitettuja. Versio:","Ceci est une version de démonstration, certaines fonctionnalités peuvent être limitées. Version :",これはデモビルドであり、一部の機能が制限されている可能性があります。バージョン:,데모 빌드이므로 일부 기능이 제한될 수 있습니다. 버전:,"Tai demonstracinė versija, kai kurios funkcijos gali būti ribotos. Versija:","To wersja demonstracyjna, niektóre funkcje mogą być ograniczone. Wersja:","Bu bir Demo sürümüdür, bazı özellikler sınırlı olabilir. Sürüm:",这是一个演示版本，部分功能可能受限。版本：,"Questa è una versione demo, alcune funzionalità potrebbero essere limitate. Versione:","Detta är en demoversion, vissa funktioner kan vara begränsade. Version:","Dette er en demoversjon, noen funksjoner kan være begrenset. Versjon:"
RETURN_BUTTON,Previous,Vorig,Предыдущий,Vorherige,Anterior,Předchozí,Anterior,Edellinen,Précédent,前の,이전의,Ankstesnis,Poprzedni,Öncesi,以前的,Precedente,Tidigare,Tidligere
SAVE_BUTTON,Save,Opslaan,Сохранять,Speichern,Salvar,Uložit,Ahorrar,Tallentaa,Sauvegarder,保存,구하다,Išsaugoti,Ratować,Kaydetmek,节省,Salva,Spara,Spare
AUDIO_SETTINGS,Audio Settings,Audio-instellingen,Настройки звука,Audioeinstellungen,Configurações de áudio,Nastavení zvuku,Configuración de audio,Ääniasetukset,Paramètres audio,オーディオ設定,오디오 설정,Garso nustatymai,Ustawienia audio,Ses Ayarları,音频设置,Impostazioni audio,Ljudinställningar,Lydinnstillinger
MUSIC_VOLUME,Music Volume,Muziekvolume,Громкость музыки,Musiklautstärke,Volume da música,Hlasitost hudby,Volumen de la música,Musiikin äänenvoimakkuus,Volume musical,音楽の音量,음악 볼륨,Muzikos garsumas,Głośność muzyki,Müzik Sesi,音乐音量,Volume della musica,Musikvolym,Musikkvolum
OTHER_VOLUME,Other Volume,Ander volume,Другой том,Anderer Band,Outro Volume,Jiný svazek,Otro volumen,Muu määrä,Autre volume,その他の巻,기타 볼륨,Kitas tomas,Inny wolumen,Diğer Cilt,其他卷,Altro volume,Annan volym,Annet volum
